Food,Grams,Protein,Fat,Carbs,Healthiness_Score
Tomato juice,100,0.8333333333333334,0.0,4.166666666666666,1.6666666666666665
Tomato catsup,100,0.0,0.0,23.52941176470588,5.88235294117647
Turnip greens,100,2.7586206896551726,0.6896551724137931,5.517241379310345,3.1034482758620694
"Turnips, steamed",100,0.6451612903225806,0.0,5.806451612903226,1.935483870967742
"Watercress stems, raw",100,2.0,0.0,2.0,2.0
Apple juice canned,100,0.0,0.0,13.600000000000001,3.4000000000000004
Apple vinegar,100,0.0,0.0,3.0,0.75
"Apples, raw",100,0.0,0.0,13.846153846153847,3.4615384615384617
Stewed or canned,100,0.0,0.0,10.833333333333334,2.7083333333333335
Apricots,100,0.8,0.0,22.8,6.300000000000001
"Dried, uncooked",100,5.333333333333334,0.0,66.66666666666666,20.666666666666664
Fresh,100,0.8771929824561403,0.0,12.280701754385964,3.7280701754385963
"Nectar, or juice",100,0.4,0.0,14.399999999999999,3.8999999999999995
Avocado,100,1.8518518518518516,16.666666666666664,5.555555555555555,-5.5555555555555545
Banana,100,0.6666666666666667,0.0,15.333333333333332,4.333333333333333
Blackberries,100,1.3888888888888888,0.6944444444444444,13.194444444444445,3.9930555555555554
Blueberries,100,0.4,0.0,26.0,6.8
Cantaloupe,100,0.2631578947368421,0.0,2.368421052631579,0.7894736842105263
Cherries,100,0.7782101167315175,0.38910505836575876,10.116731517509727,2.9182879377431905
"Fresh, raw",100,0.8771929824561403,0.0,13.157894736842104,3.9473684210526314
Cranberry sauce sweetened,100,0.0,0.0,51.26353790613718,12.815884476534295
Dates,100,2.247191011235955,0.0,75.28089887640449,20.50561797752809
Figs,100,4.761904761904762,0.0,71.42857142857143,21.42857142857143
"Fresh, raw figs",100,1.7543859649122806,0.0,19.298245614035086,6.140350877192982
figs Canned with syrup ,100,0.8695652173913043,0.0,27.82608695652174,7.608695652173913
"Fruit cocktail, canned",100,0.390625,0.0,19.53125,5.17578125
Grapefruit sections,100,0.4,0.0,17.599999999999998,4.699999999999999
"Grapefruit, fresh, 5"" diameter",100,0.3508771929824561,0.0,4.912280701754386,1.4912280701754386
Grapefruit juice,100,0.4,0.0,9.6,2.7
Grapes,100,0.6535947712418301,0.0,10.457516339869281,3.104575163398693
"European, as Muscat, Tokay",100,0.625,0.0,16.25,4.53125
Grape juice,100,0.4,0.0,16.8,4.5
Lemon juice,100,0.0,0.0,8.0,2.0
Lemonade concentratefrozen,100,0.0,0.0,50.90909090909091,12.727272727272727
Limeade concentrate frozen,100,0.0,0.0,49.54128440366973,12.385321100917432
Olives large,100,1.5384615384615385,15.384615384615385,4.615384615384616,-5.384615384615385
OlivesRipe,100,1.5384615384615385,20.0,1.5384615384615385,-8.461538461538462
"Oranges 3"" diameter",100,1.1111111111111112,0.0,8.88888888888889,3.055555555555556
Orange juice,100,0.8,0.0,10.0,3.1
Frozen ,100,0.9523809523809524,0.0,37.142857142857146,10.0
Papaya,100,0.5,0.0,9.0,2.625
Peaches,100,0.38910505836575876,0.0,20.233463035019454,5.3501945525291825
"Fresh, raw",100,0.8771929824561403,0.0,8.771929824561402,2.850877192982456
Pears,100,0.39215686274509803,0.0,19.607843137254903,5.196078431372549
"Raw, 3 by 2V",100,0.5494505494505495,0.5494505494505495,13.736263736263737,3.5714285714285716
Persimmons,100,0.8,0.0,16.0,4.6
